name,role,tier,refine_v24,refine_min,refine_r2019,d_r2019,score,refine,refine_R,refine_F,bss,brier,logloss,auc,pred_mean,d,score_cold,score_m1,se_vs_anchor,n_folds,delta_vs_anchor,beats_anchor,brier_cal,logloss_cal,logloss_cold
glm_offset_hgb_presf+K0,candidate,,754.6498495711339,-758.3701595679547,1609.6930940694724,-0.025836682800658872,850.5558333562201,962.8499203960226,729.7964058467386,13.568391843784156,0.0085055583335622,0.2465897163546369,0.6863107670927444,0.5569097101041915,0.5212242623731402,0.0013111114642107985,1163.1818337513375,298.4911679540153,19.394238493069185,4,247.86788822981032,True,,,
glm_offset_hgb+K0,candidate,,746.8328428644845,-776.0785844243829,1579.8344557441883,-0.02347319133249992,850.0773837700676,951.3489542555891,722.2484350559619,0.47496975642273753,0.008500773837700676,0.24659111274471662,0.6863130527314878,0.5565952160181952,0.5217552988130346,0.001842147904105182,1147.712587953424,319.90631391675123,19.457354511779204,4,240.0508815231609,True,,,
glm_offset_hgb_presf+RC2,candidate,,714.9425161207707,-794.1572823899543,nan,nan,-141.21598859208603,-39.60738313459177,659.5958526604451,251.933025171015,-0.0014121598859208604,0.25025715573144874,0.6939246477670192,0.5385981205937227,0.5080709581468223,0.015039880808210199,-1147.385260865427,-538.9805308262941,19.126754788116912,2,208.16055477944712,True,,,
glm_offset_hgb+RC2,candidate,,709.4695509741834,-845.8766268503045,nan,nan,-167.63751235475132,-68.20353793806055,654.6346950946577,256.93579398340233,-0.0016763751235475133,0.25032320218578885,0.6940695815783701,0.5383072313351989,0.5080043923833295,0.014973315044717328,-1213.2785859609712,-540.3309614958496,19.488043249912515,2,202.68758963285984,True,,,
glm_offset_hgb_presf+K1_iso,candidate,,595.4372375378293,-1222.128897271242,1413.0328525411453,-0.029729501646850398,540.4676090391747,684.4911125812713,650.9456814291491,-308.18620097519295,0.005404676090391747,0.24736109603882972,0.6940069544741685,0.5561094220627321,0.5216787203147992,0.001765569405869874,564.595098207112,527.9161878461058,25.103718908728812,4,88.65527619650572,True,,,
glm_offset_hgb+K1_iso,candidate,,574.3467114600426,-1219.3683734722292,1358.218000250914,-0.027189563243461667,537.1946307204639,662.4133453900879,644.1194932246624,-420.6233100567425,0.005371946307204639,0.2473693262708559,0.6950806737780889,0.5554241389094048,0.5220012833299214,0.0020881324209919283,529.0565688036471,562.2709994987679,25.167677133837962,4,67.56475011871896,True,,,
rf_official+RC2,candidate,,517.6786037332083,-1371.6707427662207,nan,nan,-512.7970935232595,-426.99606951650617,592.1780974868077,-13.890342368860274,-0.005127970935232595,0.2511859215531287,0.6959689790318356,0.5344849993155986,0.5069322561573399,0.01390117881872785,-2134.7912617624584,-802.0946616837498,13.380497804409748,2,10.896642391884711,True,,,
rf_official+K0,candidate,,506.7819613413236,-495.6254885105759,1449.6727226634102,-0.021356465168163807,774.1654094140542,884.7750057456072,625.4368671096543,-137.5711785030192,0.007741654094140542,0.2467794290060939,0.6866570684015971,0.5536887517865481,0.5237725281600332,0.003859377251103774,1007.3284543365385,405.19495084036515,0.0,4,0.0,False,,,
glm_offset_hgb_presf+RC,candidate,,493.2908102723842,-904.6290204269476,1334.9055237626442,-0.028889194447236144,635.5575347493536,760.9513663663477,616.7788464502089,-213.0806373957641,0.006355575347493536,0.2471231324454873,0.6874543861475326,0.5538214014328849,0.5205256978647528,0.0006125469558233565,735.7174533288239,644.27995477013,19.965870399516152,4,-13.491151068939416,False,,,
glm_offset_hgb+RC,candidate,,491.412928596328,-922.4312419001251,1317.7037231535421,-0.027225345074256002,637.8917554512892,751.858660724022,611.5942871728913,-217.7336753684246,0.006378917554512892,0.2471175561031861,0.6874483299122298,0.5535946081924533,0.5206648458597539,0.000751694950824458,722.2251395752697,655.7985976811758,20.095868400257515,4,-15.369032744995593,False,,,
rf_official+RC,candidate,,397.3423974995203,-1277.9958005932967,1369.6026699510144,-0.02351172658372569,533.2484131493593,626.56967189351,560.7875803010842,-276.16000999881396,0.005332484131493593,0.24738029161199265,0.6880519072560625,0.5524296967257076,0.5212068158022709,0.0012936648933415118,429.4701859386959,596.364080805295,16.11438041034187,4,-109.4395638418033,False,,,
rf_official+K1_iso,candidate,,362.1189321428676,-1288.9499766419353,1370.1035017070383,-0.02345425967899739,539.2291469094035,632.063949053778,574.1287835525276,-55.25221277560661,0.005392291469094036,0.24736550075026942,0.6886763584029881,0.5530466415674371,0.5210020902217083,0.0010889393127788416,475.4673885827144,530.5162569353788,16.293811065842256,4,-144.663029198456,False,,,
const_ORACLE,oracle,,-4.4408920985006255e-11,-4.4408920985006255e-11,3.3306690738754716e-11,2.220446049250313e-16,-2.7755575615628914e-12,-2.7755575615628784e-12,2.9388047551037744e-11,4.504840944719035e-12,-2.7755575615628914e-17,0.2486970808178609,0.6905352266102539,0.5,0.5199131509089295,1.1102230246251565e-16,1.1151968237754772e-11,nan,40.235822800096,4,-506.781961341368,False,,,
const_prev,reference,,1.06439301816863e-11,-2.808064891723916e-11,-2.808064891723916e-11,-0.03195830837473346,-208.44163528577764,-9.910072762409072e-12,4.222400207254395e-12,-8.01492205937393e-12,-0.0020844163528577764,0.2492137913432817,0.6915733839355769,0.5,0.5235877455704847,0.003674594661555272,-4.291678123991005e-12,nan,38.04487350517576,4,-506.781961341313,False,,,
