name,role,tier,refine_v24,refine_min,refine_r2019,d_r2019,score,refine,refine_R,refine_F,bss,brier,logloss,auc,pred_mean,d,score_cold,score_m1,se_vs_anchor,n_folds,delta_vs_anchor,beats_anchor,brier_cal,logloss_cal,logloss_cold
glm_offset_hgb_notm+K0,candidate,,754.6498495711339,-758.3701595679547,1609.6930940694724,-0.025836682800658872,850.5558333562201,962.8499203960226,729.7964058467386,13.568391843784156,0.0085055583335622,0.2465897163546369,0.6863107670927444,0.5569097101041915,0.5212242623731402,0.0013111114642107985,1163.1818337513375,298.4911679540153,nan,4,nan,False,,,
glm_offset_hgb+K0,candidate,,742.6074087217875,-783.9954651134137,1580.0124618176208,-0.02024576462951999,860.7897213492366,943.5165447854106,716.0197847787601,-19.10562529839494,0.008607897213492366,0.24656490217211785,0.6862633294658815,0.5567031374533604,0.5217857868124272,0.001872635903497677,1143.9327003224191,317.5829200731589,nan,4,nan,False,,,
glm_offset_hgb_notm+RC2,candidate,,714.9425161207707,-794.1572823899543,nan,nan,-141.21598859208603,-39.60738313459177,659.5958526604451,251.933025171015,-0.0014121598859208604,0.25025715573144874,0.6939246477670192,0.5385981205937227,0.5080709581468223,0.015039880808210199,-1147.385260865427,-538.9805308262941,nan,2,nan,False,,,
glm_offset_hgb+RC2,candidate,,706.6935652227003,-893.2859759993453,nan,nan,-200.70746551444915,-93.2962053883225,647.3684399894018,250.12453006664617,-0.0020070746551444914,0.25040588238765715,0.6942650008689459,0.5383877484397916,0.508193303430746,0.015162226092133801,-1258.6555678631078,-558.4040584960869,nan,2,nan,False,,,
glm_offset_hgb_notm+K1_iso,candidate,,595.4372375378293,-1222.128897271242,1413.0328525411453,-0.029729501646850398,540.4676090391747,684.4911125812713,650.9456814291491,-308.18620097519295,0.005404676090391747,0.24736109603882972,0.6940069544741685,0.5561094220627321,0.5216787203147992,0.001765569405869874,564.595098207112,527.9161878461058,nan,4,nan,False,,,
glm_offset_hgb+K1_iso,candidate,,594.5830131403084,-1252.2259756705232,1381.1877723067425,-0.02618577022887736,522.7714981011322,647.9087755675296,647.5284687709421,-522.0789091818999,0.005227714981011322,0.24740568769094193,0.6948607661551169,0.5557616367880093,0.5224292374175604,0.0025160865086310547,567.2616545166399,537.6262672073723,nan,4,nan,False,,,
glm_offset_hgb+RC,candidate,,494.09814690122397,-979.8072996974945,1327.1050167189924,-0.026815339500522506,618.5781144622038,735.6836587956798,606.2160793342222,-235.14208584663768,0.006185781144622038,0.24716596646115954,0.6875654260365273,0.5537940361215672,0.5211940567090224,0.0012809058000929907,694.972121338945,638.0525717290086,nan,4,nan,False,,,
glm_offset_hgb_notm+RC,candidate,,493.2908102723842,-904.6290204269476,1334.9055237626442,-0.028889194447236144,635.5575347493536,760.9513663663477,616.7788464502089,-213.0806373957641,0.006355575347493536,0.2471231324454873,0.6874543861475326,0.5538214014328849,0.5205256978647528,0.0006125469558233565,735.7174533288239,644.27995477013,nan,4,nan,False,,,
const_ORACLE,oracle,,-4.4408920985006255e-11,-4.4408920985006255e-11,3.3306690738754716e-11,2.220446049250313e-16,-2.7755575615628914e-12,-2.7755575615628784e-12,2.9388047551037744e-11,4.504840944719035e-12,-2.7755575615628914e-17,0.2486970808178609,0.6905352266102539,0.5,0.5199131509089295,1.1102230246251565e-16,1.1151968237754772e-11,nan,nan,4,nan,False,,,
const_prev,reference,,1.06439301816863e-11,-2.808064891723916e-11,-2.808064891723916e-11,-0.03195830837473346,-208.44163528577764,-9.910072762409072e-12,4.222400207254395e-12,-8.01492205937393e-12,-0.0020844163528577764,0.2492137913432817,0.6915733839355769,0.5,0.5235877455704847,0.003674594661555272,-4.291678123991005e-12,nan,nan,4,nan,False,,,
