name,role,tier,refine_v24,refine_min,refine_r2019,d_r2019,score,refine,refine_R,refine_F,bss,brier,logloss,auc,pred_mean,d,score_cold,score_m1,se_vs_anchor,n_folds,delta_vs_anchor,beats_anchor,brier_cal,logloss_cal,logloss_cold
glm_offset_hgb+K0,candidate,,752.0939060091538,-760.6300738326681,1601.6169105642236,-0.026138637905982032,843.4121943776739,959.2611761582139,719.0599273270617,12.727783412958033,0.00843412194377674,0.24660742368194,0.6863445398026233,0.5565430214115898,0.5210636983534678,0.0011505474445384217,1151.3396486740237,286.7514808850751,19.405287254043547,4,245.31194466783018,True,,,
hgb82_reg_avg3+K0,candidate,,742.5612319373811,-1181.0505747710279,1563.1257912273204,-0.02734622696857858,718.9839567189132,851.9891994572483,701.3680419586409,256.9112451604267,0.0071898395671891316,0.2469178904525574,0.6870324461585005,0.5562332402212438,0.5215425504980176,0.0016293995890881569,909.4318921329472,13.619848392348786,19.22388080048578,4,235.77927059605747,True,,,
hgb82_reg+K0,candidate,,742.5154077017977,-1191.6991302561823,1551.736221286339,-0.027188047139296456,714.6040994359864,846.4106127253968,692.8035630121583,250.03895157778118,0.007146040994359865,0.2469287580653251,0.6870517660768105,0.5559392053165433,0.5215456312884017,0.0016324803794723342,866.7198499219837,-9.775568604292175,19.714309358027453,4,235.7334463604741,True,,,
hgb82+K0,candidate,,703.5161739994832,-1278.0885390053963,1557.4027571403662,-0.02734450692289292,664.7360080662495,799.8265534714977,651.7764812872216,195.18956452140588,0.006647360080662495,0.24705329251875735,0.6873167867945364,0.5547282742738935,0.5216427024337941,0.0017295515248646892,839.0623156803802,-132.78211901570637,22.4470669250058,4,196.73421265815955,True,,,
glm_offset_hgb+K1_iso,candidate,,593.9841404809882,-1154.517306718748,1379.7741119879768,-0.028240160874560827,619.9328547664223,746.4437279681699,644.3225997361398,85.75698252653403,0.0061993285476642235,0.2471630176029734,0.6877804352926303,0.5555537629519073,0.5209233720615407,0.001010221152611332,742.1975805627303,526.5863817304373,23.21942852133032,4,87.20217913966462,True,,,
hgb82_reg_avg3+K1_iso,candidate,,561.3763463833578,-1476.892778327054,1375.5082753608986,-0.028336416759630945,151.32855709783232,320.48135889360924,625.7023722219687,-1701.4374749892886,0.001513285570978323,0.24833134198014079,0.7296385250496159,0.5550746677536966,0.524600969984093,0.004687819075163524,-294.37657737881466,416.3478994423764,30.322845974568274,4,54.59438504203422,True,,,
hgb82_reg+K1_iso,candidate,,554.4674670637982,-1483.2011718417448,1372.9386687528702,-0.028498850273929066,161.8887338860509,334.04096226628155,616.838512325176,-1685.72744486437,0.001618887338860509,0.2483050088067053,0.7280693197471132,0.5551174003551255,0.5246942244827927,0.004781073573863273,-292.467552243976,383.61243088525515,30.08223920532682,4,47.685505722474545,True,,,
hgb82+K1_iso,candidate,,516.7495700041604,-1505.9436546732309,1348.8565166418423,-0.02884835620260018,497.4788121537455,640.5667160785026,581.0918016120404,190.00233694306547,0.0049747881215374545,0.24746871445145907,0.688309161536939,0.5542562648697101,0.5220636702557941,0.002150519346864735,602.5296534684798,262.4422871262716,22.6557593301452,4,9.967608662836824,True,,,
rf_official+K0,candidate,,506.7819613413236,-495.6254885105759,1449.6727226634102,-0.021356465168163807,774.1654094140542,884.7750057456072,625.4368671096547,-137.57117850301796,0.007741654094140542,0.2467794290060939,0.6866570684015971,0.5536887517865481,0.5237725281600332,0.003859377251103774,1007.3284543365337,405.19495084036515,0.0,4,0.0,False,,,
rf_official+K1_iso,candidate,,362.11893214286783,-1288.9499766419576,1370.1035017070494,-0.02345425967899739,539.2291469093952,632.0639490537696,574.1287835525164,-55.252212775582194,0.0053922914690939525,0.24736550075026942,0.6886763584029881,0.5530466415674371,0.5210020902217083,0.0010889393127788555,475.4673885827249,530.5162569353788,16.293811065842252,4,-144.66302919845577,False,,,
