name,role,tier,refine_v24,refine_min,refine_r2019,d_r2019,score,refine,refine_R,refine_F,bss,brier,logloss,auc,pred_mean,d,score_cold,score_m1,se_vs_anchor,n_folds,delta_vs_anchor,beats_anchor,brier_cal,logloss_cal,logloss_cold
glm_offset_hgb_z+K0,candidate,,761.3773824027581,-771.1665191741149,1602.484161223556,-0.026282247918109403,850.9633014747443,964.0403574835785,732.0734692808413,26.554036731316614,0.008509633014747444,0.24658857198826983,0.6863112359555985,0.5569652234555353,0.5206853258669909,0.0007721749580615472,1154.5977569375261,299.91636876525445,19.59496651901284,4,254.59542106143454,True,,,
glm_offset_hgb+K0,candidate,,754.6498495711339,-758.3701595679547,1609.6930940694724,-0.025836682800658872,850.5558333562201,962.8499203960226,729.7964058467386,13.568391843784156,0.0085055583335622,0.2465897163546369,0.6863107670927444,0.5569097101041915,0.5212242623731402,0.0013111114642107985,1163.1818337513375,298.4911679540153,19.394238493069185,4,247.86788822981032,True,,,
glm_offset_hgb_z+RC2,candidate,,720.4836639270745,-815.2400473713941,nan,nan,-149.09237579078808,-47.378191722159784,661.4032070149904,269.58663891154805,-0.0014909237579078809,0.25027685827884444,0.6939755833872792,0.5385581997606004,0.5078423361987057,0.014811258860093601,-1192.4548236251771,-578.5178288941539,19.48062665088502,2,213.70170258575092,True,,,
glm_offset_hgb+RC2,candidate,,714.9425161207707,-794.1572823899543,nan,nan,-141.21598859208603,-39.60738313459177,659.5958526604451,251.933025171015,-0.0014121598859208604,0.25025715573144874,0.6939246477670192,0.5385981205937227,0.5080709581468223,0.015039880808210199,-1147.385260865427,-538.9805308262941,19.126754788116912,2,208.16055477944712,True,,,
glm_offset_hgb_z+K1_iso,candidate,,604.7833207886051,-1194.956603697776,1397.2414827302123,-0.03041294151661733,459.41650498388117,611.6093169682252,655.9570341578009,-914.7619695907106,0.004594165049838812,0.24756271808446267,0.7051897356912262,0.5561342892090875,0.5216191192118848,0.001705968302955413,374.73755134237297,534.2628960316065,27.11778935856797,4,98.00135944728152,True,,,
glm_offset_hgb+K1_iso,candidate,,595.4372375378293,-1222.128897271242,1413.0328525411453,-0.029729501646850398,540.4676090391747,684.4911125812713,650.9456814291491,-308.18620097519295,0.005404676090391747,0.24736109603882972,0.6940069544741685,0.5561094220627321,0.5216787203147992,0.001765569405869874,564.595098207112,527.9161878461058,25.103718908728812,4,88.65527619650572,True,,,
rf_official+RC2,candidate,,517.6786037332074,-1371.670742766243,nan,nan,-512.7970935232706,-426.99606951651776,592.1780974868072,-13.890342368830943,-0.005127970935232706,0.2511859215531287,0.6959689790318356,0.5344849993155986,0.5069322561573399,0.013901178818727794,-2134.7912617624534,-802.0946616837498,13.380497804409782,2,10.896642391883802,True,,,
rf_official+K0,candidate,,506.7819613413236,-495.6254885105759,1449.6727226634102,-0.021356465168163807,774.1654094140542,884.7750057456072,625.4368671096545,-137.5711785030192,0.007741654094140542,0.2467794290060939,0.6866570684015971,0.5536887517865481,0.5237725281600332,0.003859377251103774,1007.3284543365337,405.19495084036515,0.0,4,0.0,False,,,
glm_offset_hgb+RC,candidate,,493.2908102723842,-904.6290204269476,1334.9055237626442,-0.028889194447236144,635.5575347493536,760.9513663663477,616.7788464502089,-213.0806373957641,0.006355575347493536,0.2471231324454873,0.6874543861475326,0.5538214014328849,0.5205256978647528,0.0006125469558233565,735.7174533288239,644.27995477013,19.965870399516152,4,-13.491151068939416,False,,,
glm_offset_hgb_z+RC,candidate,,493.1309717313175,-911.919315701446,1325.099778887706,-0.02936510777753165,634.6949621109015,763.6983689922031,619.6986296685003,-183.239599011919,0.006346949621109015,0.24712514971659694,0.6874609761050462,0.5537992329993757,0.5203443345572183,0.0004311836482888409,726.1404500432486,636.6089022419475,20.096395591072078,4,-13.650989610006093,False,,,
rf_official+RC,candidate,,397.3423974995203,-1277.9958005932715,1369.602669951012,-0.02351172658372558,533.2484131493592,626.5696718935103,560.7875803010807,-276.160009998819,0.005332484131493591,0.24738029161199265,0.6880519072560625,0.5524296967257076,0.521206815802271,0.0012936648933416228,429.47018593867955,596.3640808053088,16.114380410342218,4,-109.4395638418033,False,,,
rf_official+K1_iso,candidate,,362.11893214286783,-1288.9499766419576,1370.1035017070474,-0.02345425967899728,539.2291469094007,632.0639490537746,574.1287835525359,-55.25221277559322,0.005392291469094007,0.24736550075026942,0.6886763584029881,0.5530466415674371,0.5210020902217083,0.0010889393127788832,475.46738858272477,530.5162569353789,16.293811065842245,4,-144.66302919845577,False,,,
const_ORACLE,oracle,,-4.4408920985006255e-11,-4.4408920985006255e-11,3.3306690738754716e-11,2.220446049250313e-16,-2.7755575615628914e-12,-2.7755575615628784e-12,2.9388047551037744e-11,4.504840944719035e-12,-2.7755575615628914e-17,0.2486970808178609,0.6905352266102539,0.5,0.5199131509089295,1.1102230246251565e-16,1.1151968237754772e-11,nan,40.235822800096,4,-506.781961341368,False,,,
const_prev,reference,,1.06439301816863e-11,-2.808064891723916e-11,-2.808064891723916e-11,-0.03195830837473346,-208.44163528577764,-9.910072762409072e-12,4.222400207254395e-12,-8.01492205937393e-12,-0.0020844163528577764,0.2492137913432817,0.6915733839355769,0.5,0.5235877455704847,0.003674594661555272,-4.291678123991005e-12,nan,38.04487350517576,4,-506.781961341313,False,,,
