name,role,tier,refine_v24,refine_min,refine_r2019,d_r2019,score,refine,refine_R,refine_F,bss,brier,logloss,auc,pred_mean,d,score_cold,score_m1,se_vs_anchor,n_folds,delta_vs_anchor,beats_anchor,brier_cal,logloss_cal,logloss_cold
glm_offset_hgb_pre15+K0,candidate,,754.6498495711339,-758.3701595679547,1609.6930940694724,-0.025836682800658872,850.5558333562201,962.8499203960226,729.7964058467386,13.568391843784156,0.0085055583335622,0.2465897163546369,0.6863107670927444,0.5569097101041915,0.5212242623731402,0.0013111114642107985,1163.1818337513375,298.4911679540153,19.39423849306919,4,247.86788822981032,True,,,
glm_offset_hgb+K0,candidate,,739.5770915402321,-764.7221140216234,1585.5225426722134,-0.02580172807678982,839.1867361915023,951.8911098520125,714.4534714420581,16.308189801012276,0.008391867361915023,0.24661789449868834,0.686365493067407,0.5564805004050684,0.520993155716124,0.0010800048071945567,1181.1228127207596,342.9470740764357,19.427940307789232,4,232.7951301989085,True,,,
glm_offset_hgb_pre15+RC2,candidate,,714.9425161207707,-794.1572823899543,nan,nan,-141.21598859208603,-39.60738313459177,659.5958526604451,251.933025171015,-0.0014121598859208604,0.25025715573144874,0.6939246477670192,0.5385981205937227,0.5080709581468223,0.015039880808210199,-1147.385260865427,-538.9805308262941,19.126754788116912,2,208.16055477944712,True,,,
glm_offset_hgb+RC2,candidate,,709.0497126644234,-878.4402535377636,nan,nan,-190.35251298766264,-84.69527043667011,638.9818404364437,251.95627728321733,-0.0019035251298766263,0.25037999027489755,0.6941997076679772,0.5381147314650441,0.5083544108070439,0.015323333468431788,-1197.281944786875,-573.4982245910292,19.80773802326901,2,202.2677513230998,True,,,
glm_offset_hgb_pre15+K1_iso,candidate,,595.4372375378293,-1222.128897271242,1413.0328525411453,-0.029729501646850398,540.4676090391747,684.4911125812713,650.9456814291491,-308.18620097519295,0.005404676090391747,0.24736109603882972,0.6940069544741685,0.5561094220627321,0.5216787203147992,0.001765569405869874,564.595098207112,527.9161878461058,25.103718908728812,4,88.65527619650572,True,,,
glm_offset_hgb+K1_iso,candidate,,586.1236927653614,-1201.0506162322467,1395.4419654677642,-0.031155712466553243,517.0344671393823,671.371508065326,638.7327716074899,-361.7503255683584,0.005170344671393823,0.24741905373938333,0.6948146428104068,0.5556029312342627,0.5214547551744517,0.00154160426552237,551.3237716110048,551.3689937591215,25.131337452695988,4,79.34173142403779,True,,,
rf_official+RC2,candidate,,517.6786037332079,-1371.6707427661984,nan,nan,-512.7970935232483,-426.99606951649525,592.1780974868075,-13.890342368842141,-0.005127970935232483,0.25118592155312863,0.6959689790318355,0.5344849993155986,0.5069322561573399,0.013901178818727822,-2134.7912617624424,-802.0946616837389,13.38049780440979,2,10.896642391884257,True,,,
rf_official+K0,candidate,,506.7819613413236,-495.6254885105759,1449.6727226634102,-0.021356465168163807,774.1654094140542,884.7750057456072,625.4368671096518,-137.5711785030192,0.007741654094140542,0.2467794290060939,0.6866570684015971,0.5536887517865481,0.5237725281600332,0.003859377251103774,1007.328454336533,405.1949508403735,0.0,4,0.0,False,,,
glm_offset_hgb_pre15+RC,candidate,,493.2908102723842,-904.6290204269476,1334.9055237626442,-0.028889194447236144,635.5575347493536,760.9513663663477,616.7788464502089,-213.0806373957641,0.006355575347493536,0.2471231324454873,0.6874543861475326,0.5538214014328849,0.5205256978647528,0.0006125469558233565,735.7174533288239,644.27995477013,19.965870399516152,4,-13.491151068939416,False,,,
glm_offset_hgb+RC,candidate,,490.07510614005645,-908.312656907642,1326.4246406822117,-0.0296965147814523,627.3609537889357,758.8168016878474,609.0163327048737,-185.47017875928614,0.0062736095378893575,0.24714338033646266,0.6875055789815687,0.553684636887767,0.5203070066312683,0.00039385572233884003,779.9063691392132,662.1356147031549,20.30996290435629,4,-16.70685520126716,False,,,
rf_official+RC,candidate,,397.3423974995203,-1277.9958005932967,1369.6026699510144,-0.02351172658372569,533.2484131493482,626.5696718934995,560.7875803010811,-276.1600099988243,0.005332484131493481,0.24738029161199265,0.6880519072560626,0.5524296967257076,0.521206815802271,0.0012936648933416228,429.4701859386561,596.3640808053033,16.114380410342537,4,-109.4395638418033,False,,,
rf_official+K1_iso,candidate,,362.11893214285675,-1288.9499766419576,1370.103501707016,-0.02345425967899739,539.2291469093868,632.0639490537612,574.1287835525275,-55.25221277560115,0.005392291469093868,0.24736550075026945,0.6886763584029881,0.5530466415674371,0.5210020902217083,0.0010889393127788277,475.4673885827207,530.5162569353816,16.29381106584226,4,-144.66302919846686,False,,,
const_ORACLE,oracle,,-4.4408920985006255e-11,-4.4408920985006255e-11,3.3306690738754716e-11,2.220446049250313e-16,-2.7755575615628914e-12,-2.7755575615628784e-12,2.9388047551037744e-11,4.504840944719035e-12,-2.7755575615628914e-17,0.2486970808178609,0.6905352266102539,0.5,0.5199131509089295,1.1102230246251565e-16,1.1151968237754772e-11,nan,40.235822800096,4,-506.781961341368,False,,,
const_prev,reference,,1.06439301816863e-11,-2.808064891723916e-11,-2.808064891723916e-11,-0.03195830837473346,-208.44163528577764,-9.910072762409072e-12,4.222400207254395e-12,-8.01492205937393e-12,-0.0020844163528577764,0.2492137913432817,0.6915733839355769,0.5,0.5235877455704847,0.003674594661555272,-4.291678123991005e-12,nan,38.04487350517576,4,-506.781961341313,False,,,
