run_id,timestamp_utc,data_source,name,role,tier,refine_v24,refine_min,refine_r2019,d_r2019,score,refine,refine_R,refine_F,bss,brier,logloss,auc,pred_mean,d,score_cold,score_m1,se_vs_anchor,n_folds,delta_vs_anchor,beats_anchor,brier_cal,logloss_cal,logloss_cold
20260805-140728_real,2026-08-05T14:07:28.454319+00:00,real,glm_offset_hgb+K1_iso,candidate,,593.9841404809882,-1154.517306718748,1379.7741119879768,-0.028240160874560827,619.9328547664223,746.4437279681699,644.3225997361398,85.75698252653403,0.0061993285476642235,0.2471630176029734,0.6877804352926303,0.5555537629519073,0.5209233720615407,0.001010221152611332,742.1975805627303,526.5863817304373,23.21942852133032,4,87.20217913966462,True,,,
20260805-140728_real,2026-08-05T14:07:28.454319+00:00,real,hgb82_reg_avg3+K1_iso,candidate,,561.3763463833578,-1476.892778327054,1375.5082753608986,-0.028336416759630945,151.32855709783232,320.48135889360924,625.7023722219687,-1701.4374749892886,0.001513285570978323,0.24833134198014079,0.7296385250496159,0.5550746677536966,0.524600969984093,0.004687819075163524,-294.37657737881466,416.3478994423764,30.322845974568274,4,54.59438504203422,True,,,
20260805-140728_real,2026-08-05T14:07:28.454319+00:00,real,hgb82_reg+K1_iso,candidate,,554.4674670637982,-1483.2011718417448,1372.9386687528702,-0.028498850273929066,161.8887338860509,334.04096226628155,616.838512325176,-1685.72744486437,0.001618887338860509,0.2483050088067053,0.7280693197471132,0.5551174003551255,0.5246942244827927,0.004781073573863273,-292.467552243976,383.61243088525515,30.08223920532682,4,47.685505722474545,True,,,
20260805-140728_real,2026-08-05T14:07:28.454319+00:00,real,hgb82+K1_iso,candidate,,516.7495700041604,-1505.9436546732309,1348.8565166418423,-0.02884835620260018,497.4788121537455,640.5667160785026,581.0918016120404,190.00233694306547,0.0049747881215374545,0.24746871445145907,0.688309161536939,0.5542562648697101,0.5220636702557941,0.002150519346864735,602.5296534684798,262.4422871262716,22.6557593301452,4,9.967608662836824,True,,,
20260805-140728_real,2026-08-05T14:07:28.454319+00:00,real,rf_official+K0,candidate,,506.7819613413236,-495.6254885105759,1449.6727226634102,-0.021356465168163807,774.1654094140542,884.7750057456072,625.4368671096547,-137.57117850301796,0.007741654094140542,0.2467794290060939,0.6866570684015971,0.5536887517865481,0.5237725281600332,0.003859377251103774,1007.3284543365337,405.19495084036515,0.0,4,0.0,False,,,
20260805-140728_real,2026-08-05T14:07:28.454319+00:00,real,rf_official+K1_iso,candidate,,362.11893214286783,-1288.9499766419576,1370.1035017070494,-0.02345425967899739,539.2291469093952,632.0639490537696,574.1287835525164,-55.252212775582194,0.0053922914690939525,0.24736550075026942,0.6886763584029881,0.5530466415674371,0.5210020902217083,0.0010889393127788555,475.4673885827249,530.5162569353788,16.293811065842252,4,-144.66302919845577,False,,,
20260805-140728_real,2026-08-05T14:07:28.454319+00:00,real,glm_offset_hgb+RC,candidate,,359.5518685189008,-863.9139417864776,1318.749939264147,-0.027915324002186548,613.5967611290705,734.7886631985593,582.7364065435911,-233.07843340454076,0.006135967611290705,0.2471781006590651,0.6875576813502098,0.5520540108983266,0.5210116074329152,0.0010984565239856858,694.0760899064194,639.9094339974348,19.588271090886412,4,-147.23009282242282,False,,,
20260805-140728_real,2026-08-05T14:07:28.454319+00:00,real,hgb82+RC,candidate,,323.5206522199123,-1130.325295000794,1259.9797776384662,-0.02901790857546338,494.4140023138588,629.0876201151871,533.5614432872482,-197.74730539990694,0.004944140023138588,0.24747505177432116,0.6881655212249584,0.5504468169132793,0.5210872209276999,0.0011740700187704428,431.51879439371646,491.5891428018626,19.968677611217245,4,-183.26130912141133,False,,,
20260805-140728_real,2026-08-05T14:07:28.454319+00:00,real,hgb82_reg_avg3+RC,candidate,,320.68679406578343,-1263.580117516908,1260.8384113602958,-0.029093642256370122,474.59455454329225,611.0388964952606,559.4336571100611,-136.59256841959402,0.0047459455454329225,0.2475246946169537,0.6883163980343161,0.5513728787773708,0.5214192789738286,0.001506128064899151,364.567721849891,541.011717001716,20.594182093523372,4,-186.09516727554018,False,,,
20260805-140728_real,2026-08-05T14:07:28.454319+00:00,real,hgb82_reg+RC,candidate,,316.98943524535747,-1234.7708273399007,1252.4855107716855,-0.029172804614701953,476.938971519461,615.0277573558551,550.7149526601962,-143.010631865634,0.00476938971519461,0.24751871230026498,0.6882919698445918,0.5510506793669494,0.5215663741473301,0.0016532232384006834,351.2119294275812,527.3896195292671,20.633227474041934,4,-189.79252609596614,False,,,
