name,role,tier,score,bss,brier,logloss,auc,pred_mean,d,score_cold,score_m1,se_vs_anchor,n_folds,delta_vs_anchor,beats_anchor,brier_cal,logloss_cal,logloss_cold
hgb82+K1K3_hedge,candidate,,346.6122061793678,0.0034661220617936777,0.24879677626145158,0.6910285142858722,0.548366930312349,0.5117389109477607,0.006744711547044664,-1074.0758379636802,6.747092362265562,23.903648593437904,3,-264.2318877492111,False,,,
rf_official+K1K3_hedge,candidate,,339.5870509243134,0.0033958705092431343,0.24881386780293624,0.6918612557434122,0.5469664461078967,0.5085246191124547,0.003530419711738527,-1224.5569436879305,345.83636945674976,19.480977668631883,3,-271.2570430042655,False,,,
rf_official+K1K3_flat,candidate,,336.86588694032577,0.003368658869403258,0.24882068948688632,0.6918913808662596,0.5469664461078967,0.5142642050392108,0.009270005638494672,-1336.5872353585476,346.32043207624884,18.047008865953174,3,-273.97820698825313,False,,,
rf_official+K1_iso,candidate,,336.86588691921685,0.0033686588691921684,0.248820689486939,0.6918913808663855,0.5469664461078967,0.514264205044087,0.009270005643370938,-1336.587235481205,346.32043205887004,18.047013123703803,3,-273.97820700936205,False,,,
hgb82+K1K3_ex,candidate,,327.13701315149063,0.003271370131514906,0.24884530425278825,0.69111834922144,0.548366930312349,0.5060001499536824,0.0010059505529662245,-1015.3562066048745,-23.863236200753345,25.681263424219036,3,-283.70708077708827,False,,,
hgb82+K1K3_flat,candidate,,326.53780700559656,0.0032653780700559656,0.24884685634585135,0.6911400368374238,0.548366930312349,0.5174776772591465,0.012483477858430384,-1169.6036877563413,-3.1712503134162326,23.313472616766393,3,-284.30628692298234,False,,,
hgb82+K1_iso,candidate,,326.53780696475513,0.0032653780696475514,0.24884685634595335,0.6911400368376523,0.548366930312349,0.5174776772640691,0.01248347786335304,-1169.6036879064768,-3.1712503584283716,23.313472981871943,3,-284.30628696382377,False,,,
rf_official+K1K3_ex,candidate,,302.9029725463224,0.003029029725463224,0.248905294293442,0.6920331820115194,0.5469664461078967,0.5027865231824183,-0.002207676218297816,-1148.8108253370099,304.9675375565478,22.026255035961245,3,-307.9411213822565,False,,,
rf_official+K1K4_w1,candidate,,278.0091478052027,0.002780091478052027,0.2489671020788952,0.6922051844473875,0.5479971823522879,0.5012865285932909,-0.0037076708074251785,-1095.9590011987837,414.547469521409,26.904393799225957,3,-332.8349461233762,False,,,
hgb82+K1K4_w1,candidate,,217.82360597252622,0.002178236059725262,0.24911749415868356,0.6918030796841972,0.5476279407223017,0.5044719957313343,-0.0005222036693819007,-1256.6788936981377,280.40824506183617,32.88712186984086,3,-393.02048795605265,False,,,
rf_official+K4_w1,candidate,,211.93641885787943,0.0021193641885787944,0.24913247823827325,0.6916048686497009,0.5480574919303148,0.4980373290134738,-0.006956870387242335,-1378.3955511804631,520.9862650550086,31.517693673893536,3,-398.9076750706995,False,,,
rf_official+K2_flat,candidate,,-53.98245619030459,-0.0005398245619030458,0.2500389074294638,0.6933411545685226,0.5343069684833656,0.5008925380817364,0.007861460743124216,-2263.154054686889,-515.7969320268908,7.82627346052961,2,-664.8265501188835,False,,,
rf_official+K2_hedge,candidate,,-60.734449752253255,-0.0006073444975225325,0.2500557669174018,0.6933734309956725,0.5343069684833656,0.49750872619647357,0.0044776488578614215,-2202.117813849447,-490.2455295301422,10.513996952767974,2,-671.5785436808321,False,,,
rf_official+K2_ex,candidate,,-82.72057839391334,-0.0008272057839391335,0.25011068262952746,0.693482329752187,0.5343069684833656,0.494127708514437,0.0010966311758248415,-2156.389008754428,-479.5929068224347,13.19952147659243,2,-693.5646723224922,False,,,
hgb82+K4_w1,candidate,,-232.46285244079567,-0.0023246285244079568,0.2502424032764438,0.694352312606718,0.5476143980231177,0.4977221362825391,-0.007272063118176982,-2865.3985106219084,401.78239962572746,46.33358328344999,3,-843.3069463693746,False,,,
hgb82+K2_flat,candidate,,-353.95417636927556,-0.0035395417636927555,0.2507889963628621,0.6950521857160348,0.5357062806019436,0.4958735921703501,0.0028425148317380022,-3022.35495165456,-1363.6489208768808,27.103577060898367,2,-964.7982702978545,False,,,
hgb82+K2_hedge,candidate,,-380.69476843126114,-0.0038069476843126115,0.25085579055397866,0.6951842235101262,0.5357062806019436,0.492478054238422,-0.0005530231001901198,-3015.97700248476,-1332.8654613227409,28.808090567268827,2,-991.5388623598401,False,,,
hgb82+K2_ex,candidate,,-422.72791201248833,-0.004227279120124884,0.25096078689361295,0.6953939009270074,0.5357062806019436,0.4890860176780764,-0.00394505966053571,-3024.755655475547,-1316.6819791551875,30.689433978435236,2,-1033.5720059410673,False,,,
rf_official+K1K2_ex,candidate,,-511.5739837098787,-0.005115739837098787,0.25118274460373297,0.697248169584687,0.5333207198434791,0.4986853928570377,0.005654315518425573,-3735.3027527579243,-442.92182359220163,18.44068032896559,2,-1122.4180776384576,False,,,
rf_official+K1K2_hedge,candidate,,-514.5754603700036,-0.005145754603700036,0.25119024834635906,0.6972662540452208,0.5333207198434791,0.5020463091867772,0.00901523184816505,-3808.1135749144405,-457.23765807401674,16.811156981607873,2,-1125.4195542985826,False,,,
rf_official+K1K2_flat,candidate,,-532.6174023516817,-0.0053261740235168165,0.25123532450865693,0.6973578947276547,0.5333207198434791,0.5054085360156294,0.012377458677017256,-3895.9819675012272,-486.61844130348794,15.668271956056966,2,-1143.4614962802607,False,,,
hgb82+K1K2_ex,candidate,,-548.5648320132042,-0.005485648320132042,0.2512753682968519,0.696249553378085,0.5351416099519615,0.4985016760033746,0.005470598664762488,-3615.795674773059,-611.5594207890429,25.081097871268227,2,-1159.408925941783,False,,,
hgb82+K1K2_hedge,candidate,,-549.9973550754155,-0.005499973550754155,0.2512789525068323,0.6962612706231709,0.5351416099519615,0.5018650237851204,0.00883394644650834,-3662.4575568814766,-630.4046147471155,23.799232230123266,2,-1160.8414490039945,False,,,
hgb82+K1K2_flat,candidate,,-566.5175367208508,-0.005665175367208508,0.2513202270272563,0.6963484352368374,0.5351416099519615,0.5052294528349286,0.012198375496316471,-3724.1714325304433,-664.330003192326,22.938238839126264,2,-1177.3616306494296,False,,,
rf_official+K3_ORACLE,oracle,,623.827637999345,0.00623827637999345,0.24810329548268864,0.689299903935975,0.5477279477129509,0.49581511481830737,-0.00917908458240868,338.71325609542043,219.85192347287648,17.43853194685435,3,12.98354407076613,False,,,
hgb82+K3_ORACLE,oracle,,430.29393194194955,0.004302939319419496,0.2485875535402935,0.6903615549403342,0.5488440020444251,0.49536529921858813,-0.00962890018212803,-151.2488341983771,-451.4608320667672,31.840749592485157,3,-180.55016198662935,False,,,
hgb82+K1K3_ORACLE,oracle,,361.0536558408446,0.003610536558408446,0.24876062731634452,0.6908437621245422,0.548366930312349,0.5019129023873777,-0.003081297013338369,-540.1352090355749,43.101235699039044,28.001805092173267,3,-249.7904380877343,False,,,
rf_official+K1K3_ORACLE,oracle,,338.01851789082576,0.0033801851789082575,0.24881781410008896,0.6917781216591777,0.5469664461078967,0.49870055592610285,-0.006293643474613253,-686.8193428886003,368.05538311820055,25.167958294238673,3,-272.82557603775314,False,,,
const_ORACLE,oracle,,-1.4802973661668755e-11,-1.4802973661668756e-16,0.2496568442914072,0.6924605412412905,0.5,0.5049941994007162,7.401486830834377e-17,-391.34271267413646,nan,39.73746054621137,3,-610.8440939285937,False,,,
rf_official+K2_ORACLE,oracle,,-83.61753403739456,-0.0008361753403739456,0.25011290678326503,0.6934280482122899,0.5343069684833656,0.4793902231594075,-0.013640854179204631,-1461.5756748618592,-468.66706668652336,25.10994449949096,2,-694.4616279659734,False,,,
const_hedge,reference,,-121.28041075591216,-0.0012128041075591216,0.2499599780740024,0.6930677538412603,0.5,0.5147545624977775,0.009760363097061409,-881.7818782240897,nan,38.29873151678991,3,-732.1245046844911,False,,,
const_flat,reference,,-139.42752918373694,-0.0013942752918373693,0.2500053471672434,0.6931585394118075,0.5,0.5205464284077009,0.01555222900698485,-843.5253544746057,nan,38.05679809132711,3,-750.2716231123159,False,,,
const_ex,reference,,-143.5079541402873,-0.001435079541402873,0.2500152728548315,0.6931784414888217,0.5,0.5089626965878543,0.003968497187138116,-960.8614936125267,nan,39.348804624973496,3,-754.3520480688662,False,,,
hgb82+K2_ORACLE,oracle,,-467.9887954795903,-0.004679887954795903,0.25107391095523884,0.6954965875154939,0.5357062806019436,0.4743379479541182,-0.01869312938449394,-2335.4173035319222,-1360.3764840770082,37.36170936714265,2,-1078.8328894081692,False,,,
rf_official+K1K2_ORACLE,oracle,,-533.5786292493373,-0.005335786292493373,0.25123775132309456,0.6972169746496992,0.5333207198434791,0.4839573029050015,-0.009073774433610626,-2954.7083051104983,-451.2203277754368,26.215034307477204,2,-1144.4227231779162,False,,,
hgb82+K1K2_ORACLE,oracle,,-574.50066891645,-0.005745006689164499,0.25134020221381426,0.6962236624334992,0.5351416099519615,0.4837781538190225,-0.009252923519589618,-2855.9667788590705,-643.5198297727096,31.272444477453753,2,-1185.344762845029,False,,,
